date,game_pk,home_team_name,away_team_name,market_favorite,market_favorite_fair_prob,n_books,model_predicted_winner,model_agrees_with_favorite
2026-07-24,823352,Pittsburgh Pirates,Chicago Cubs,Pittsburgh Pirates,0.5039490471360331,9,Chicago Cubs,False
2026-07-24,824248,Detroit Tigers,Kansas City Royals,Detroit Tigers,0.700496069111762,9,Detroit Tigers,True
2026-07-24,822707,Washington Nationals,Arizona Diamondbacks,Arizona Diamondbacks,0.5357470133851957,9,Washington Nationals,False
2026-07-24,823434,Philadelphia Phillies,New York Yankees,Philadelphia Phillies,0.5595171630574297,9,New York Yankees,False
2026-07-24,824812,Baltimore Orioles,Atlanta Braves,Baltimore Orioles,0.5199051591996529,9,Atlanta Braves,False
2026-07-24,822952,Tampa Bay Rays,Cleveland Guardians,Tampa Bay Rays,0.5404108880579233,9,Tampa Bay Rays,True
2026-07-24,823601,New York Mets,Los Angeles Dodgers,Los Angeles Dodgers,0.5532465281301843,9,Los Angeles Dodgers,True
2026-07-24,823843,Miami Marlins,San Diego Padres,Miami Marlins,0.5520793181088535,9,Miami Marlins,True
2026-07-24,824733,Boston Red Sox,Toronto Blue Jays,Boston Red Sox,0.5379688886543083,9,Toronto Blue Jays,False
2026-07-24,824573,Chicago White Sox,Houston Astros,Chicago White Sox,0.5459075083397308,9,Chicago White Sox,True
2026-07-25,822704,Washington Nationals,Arizona Diamondbacks,Washington Nationals,0.7556066279273059,6,Arizona Diamondbacks,False
2026-07-25,823197,San Francisco Giants,Los Angeles Angels,San Francisco Giants,0.9560658397199032,2,Los Angeles Angels,False
2026-07-25,824734,Boston Red Sox,Toronto Blue Jays,Toronto Blue Jays,0.9097096396449432,5,Toronto Blue Jays,True
2026-07-25,823841,Miami Marlins,San Diego Padres,San Diego Padres,0.5801915136226525,6,Miami Marlins,False
2026-07-25,823435,Philadelphia Phillies,New York Yankees,New York Yankees,0.531342916072637,9,New York Yankees,True
2026-07-25,822948,Tampa Bay Rays,Cleveland Guardians,Tampa Bay Rays,0.5243538431602036,9,Tampa Bay Rays,True
2026-07-25,823355,Pittsburgh Pirates,Chicago Cubs,Pittsburgh Pirates,0.5283734935980358,9,Pittsburgh Pirates,True
2026-07-25,824811,Baltimore Orioles,Atlanta Braves,Baltimore Orioles,0.5069721042759966,9,Atlanta Braves,False
