game_id,official_date,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,completed,season
401856890,2026-05-08,9,New York Liberty,18,Connecticut Sun,106,75,True,2026
401856891,2026-05-08,131935,Toronto Tempo,16,Washington Mystics,65,68,True,2026
401856892,2026-05-09,14,Seattle Storm,129689,Golden State Valkyries,80,91,True,2026
401856893,2026-05-09,5,Indiana Fever,3,Dallas Wings,104,107,True,2026
401856894,2026-05-09,17,Las Vegas Aces,11,Phoenix Mercury,66,99,True,2026
401856899,2026-05-10,8,Minnesota Lynx,20,Atlanta Dream,90,91,True,2026
401856895,2026-05-10,132052,Portland Fire,19,Chicago Sky,83,98,True,2026
401856896,2026-05-10,18,Connecticut Sun,14,Seattle Storm,82,89,True,2026
401856897,2026-05-10,16,Washington Mystics,9,New York Liberty,93,98,True,2026
401856898,2026-05-10,6,Los Angeles Sparks,17,Las Vegas Aces,78,105,True,2026
401856900,2026-05-11,129689,Golden State Valkyries,11,Phoenix Mercury,95,79,True,2026
401856901,2026-05-13,3,Dallas Wings,20,Atlanta Dream,72,77,True,2026
401856902,2026-05-13,11,Phoenix Mercury,8,Minnesota Lynx,84,88,True,2026
401856903,2026-05-13,132052,Portland Fire,9,New York Liberty,98,96,True,2026
401856904,2026-05-13,131935,Toronto Tempo,14,Seattle Storm,86,73,True,2026
401856905,2026-05-14,18,Connecticut Sun,17,Las Vegas Aces,69,98,True,2026
401856906,2026-05-14,129689,Golden State Valkyries,19,Chicago Sky,63,69,True,2026
401856907,2026-05-14,6,Los Angeles Sparks,5,Indiana Fever,78,87,True,2026
401856908,2026-05-15,3,Dallas Wings,8,Minnesota Lynx,86,90,True,2026
401856909,2026-05-15,132052,Portland Fire,9,New York Liberty,82,100,True,2026
401856910,2026-05-15,18,Connecticut Sun,17,Las Vegas Aces,94,101,True,2026
401856911,2026-05-15,5,Indiana Fever,16,Washington Mystics,102,104,True,2026
401856912,2026-05-16,6,Los Angeles Sparks,131935,Toronto Tempo,99,95,True,2026
401856913,2026-05-16,11,Phoenix Mercury,19,Chicago Sky,91,83,True,2026
401856915,2026-05-17,20,Atlanta Dream,17,Las Vegas Aces,84,85,True,2026
401856916,2026-05-17,5,Indiana Fever,14,Seattle Storm,89,78,True,2026
401856914,2026-05-17,8,Minnesota Lynx,19,Chicago Sky,79,86,True,2026
401856917,2026-05-17,6,Los Angeles Sparks,131935,Toronto Tempo,96,106,True,2026
401856918,2026-05-19,3,Dallas Wings,16,Washington Mystics,92,69,True,2026
401856919,2026-05-19,132052,Portland Fire,18,Connecticut Sun,83,82,True,2026
401856920,2026-05-20,11,Phoenix Mercury,131935,Toronto Tempo,90,98,True,2026
401856921,2026-05-20,5,Indiana Fever,132052,Portland Fire,90,73,True,2026
401856922,2026-05-21,19,Chicago Sky,3,Dallas Wings,89,99,True,2026
401856923,2026-05-21,14,Seattle Storm,18,Connecticut Sun,78,80,True,2026
401856924,2026-05-22,9,New York Liberty,129689,Golden State Valkyries,70,87,True,2026
401856925,2026-05-22,8,Minnesota Lynx,131935,Toronto Tempo,100,72,True,2026
401856926,2026-05-22,11,Phoenix Mercury,6,Los Angeles Sparks,88,97,True,2026
401856927,2026-05-22,20,Atlanta Dream,3,Dallas Wings,86,69,True,2026
401856928,2026-05-22,5,Indiana Fever,129689,Golden State Valkyries,90,82,True,2026
401856929,2026-05-23,14,Seattle Storm,18,Connecticut Sun,77,59,True,2026
401856930,2026-05-23,19,Chicago Sky,8,Minnesota Lynx,75,85,True,2026
401856931,2026-05-23,131935,Toronto Tempo,132052,Portland Fire,80,99,True,2026
401856932,2026-05-24,17,Las Vegas Aces,6,Los Angeles Sparks,95,101,True,2026
401856933,2026-05-24,20,Atlanta Dream,11,Phoenix Mercury,82,80,True,2026
401856934,2026-05-24,9,New York Liberty,3,Dallas Wings,76,91,True,2026
